id,name,type,nutrition,value,unit,url,value_level
138,Instant Pot Chawanmushi,appetizer,Sodium,377,mg,https://www.justonecookbook.com/wp-content/uploads/2019/01/Instant-Pot-Chawanmushi-I-500x500.jpg,-0.059219359659971216
139,Instant Pot Chawanmushi,appetizer,Potassium,173,mg,https://www.justonecookbook.com/wp-content/uploads/2019/01/Instant-Pot-Chawanmushi-I-500x500.jpg,-1.3977887405456257
140,Instant Pot Chawanmushi,appetizer,Calcium,44,mg,https://www.justonecookbook.com/wp-content/uploads/2019/01/Instant-Pot-Chawanmushi-I-500x500.jpg,-1.5141277326297755
141,Japanese Grilled Eggplant (Yaki Nasu),appetizer,Calories,85,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/10/Japanese-Grilled-Eggplant-Yaki-Nasu-e1318220106546-400x400.jpg,-1.5488132906176655
142,Japanese Grilled Eggplant (Yaki Nasu),appetizer,Protein,3,g,https://www.justonecookbook.com/wp-content/uploads/2011/10/Japanese-Grilled-Eggplant-Yaki-Nasu-e1318220106546-400x400.jpg,-1.2039728043259361
143,Japanese Grilled Eggplant (Yaki Nasu),appetizer,Sodium,7,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Japanese-Grilled-Eggplant-Yaki-Nasu-e1318220106546-400x400.jpg,-4.045554398052668
144,Japanese Grilled Eggplant (Yaki Nasu),appetizer,Potassium,776,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Japanese-Grilled-Eggplant-Yaki-Nasu-e1318220106546-400x400.jpg,0.10307218513981405
145,Japanese Grilled Eggplant (Yaki Nasu),appetizer,Calcium,31,mg,https://www.justonecookbook.com/wp-content/uploads/2011/10/Japanese-Grilled-Eggplant-Yaki-Nasu-e1318220106546-400x400.jpg,-1.8643301620628905
146,Japanese Sake Steamed Clams,appetizer,Calories,137,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/09/Japanese-Sake-Steamed-Clams-0732-I-500x500.jpg,-1.071483621279857
147,Japanese Sake Steamed Clams,appetizer,Protein,8,g,https://www.justonecookbook.com/wp-content/uploads/2021/09/Japanese-Sake-Steamed-Clams-0732-I-500x500.jpg,-0.2231435513142097
